Gender,weight,calories_day,weight_fixed
1,155,3.0,155.0
1,I'm not answering this. ,4.0,
1,"Not sure, 240",3.0,
1,190,2.0,190.0
1,190,3.0,190.0
2,180,3.0,180.0
1,137,3.0,137.0
1,125,3.0,125.0
1,116,3.0,116.0
1,110,4.0,110.0
2,264,3.0,264.0
1,123,3.0,123.0
2,185,3.0,185.0
1,145,3.0,145.0
2,170,3.0,170.0
1,135,3.0,135.0
2,165,2.0,165.0
2,175,3.0,175.0
2,195,3.0,195.0
2,185,3.0,185.0
2,185,3.0,185.0
1,105,2.0,105.0
1,125,3.0,125.0
2,160,2.0,160.0
2,175,4.0,175.0
2,180,2.0,180.0
2,167,2.0,167.0
1,115,3.0,115.0
2,205,3.0,205.0
1,128,3.0,128.0
1,150,3.0,150.0
1,150,2.0,150.0
1,150,3.0,150.0
1,170,4.0,170.0
1,150,3.0,150.0
2,140,3.0,140.0
1,120,4.0,120.0
1,135,3.0,135.0
1,100,2.0,100.0
1,170,4.0,170.0
1,113,3.0,113.0
2,168,2.0,168.0
2,150,3.0,150.0
2,169,3.0,169.0
2,185,4.0,185.0
2,200,4.0,200.0
2,165,3.0,165.0
1,192,2.0,192.0
2,175,4.0,175.0
1,140,4.0,140.0
1,155,3.0,155.0
1,135,4.0,135.0
1,118,2.0,118.0
2,210,4.0,210.0
1,180,4.0,180.0
1,140,3.0,140.0
1,125,3.0,125.0
1,144 lbs,2.0,
1,145,3.0,145.0
1,130,4.0,130.0
1,140,3.0,140.0
2,140,3.0,140.0
2,200,4.0,200.0
1,120,3.0,120.0
1,150,3.0,150.0
2,200,2.0,200.0
1,135,3.0,135.0
2,145,3.0,145.0
1,130,2.0,130.0
1,190,3.0,190.0
1,127,3.0,127.0
1,167,3.0,167.0
1,140,3.0,140.0
1,190,3.0,190.0
2,155,3.0,155.0
2,175,4.0,175.0
1,129,3.0,129.0
2,260,4.0,260.0
1,135,2.0,135.0
2,175,3.0,175.0
2,210,3.0,210.0
1,155,3.0,155.0
2,185,3.0,185.0
1,165,4.0,165.0
1,125,3.0,125.0
1,135,4.0,135.0
1,130,3.0,130.0
1,230,3.0,230.0
1,125,3.0,125.0
1,130,3.0,130.0
1,165,3.0,165.0
1,128,2.0,128.0
1,200,3.0,200.0
1,160,3.0,160.0
2,170,2.0,170.0
1,129,4.0,129.0
1,170,2.0,170.0
2,138,3.0,138.0
2,150,4.0,150.0
1,140,3.0,140.0
2,185,3.0,185.0
1,156,4.0,156.0
1,180,2.0,180.0
2,135,4.0,135.0
